0,1, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
HORA:,TEMPERATURA (°C):,CLIMA:,PRECIPITACIONES (mm),HUMEDAD:,NUBOSIDAD:,DIRECCION DEL VIENTO:,VELOCIDAD DEL VIENTO (Km/h):,RAFAGA DEL VIENTO (Km/h):,VISIBILIDAD (Km):,,,,,,,,,,
0:00,12,Despejado,0,56%,7%,W,3.2,6.8,10,,,,,,,,,,
1:00,11.6,Despejado,0,58%,5%,NW,5.8,12.1,10,,,,,,,,,,
2:00,11.2,Despejado,0,60%,15%,NNW,7.6,15.9,10,,,,,,,,,,
3:00,10.5,Despejado,0,62%,22%,NNW,6.1,12.9,10,,,,,,,,,,
4:00,10.4,Cielo cubierto,0,64%,100%,NNW,6.5,13.6,10,,,,,,,,,,
5:00,10.3,Despejado,0,65%,4%,NW,5,10.6,10,,,,,,,,,,
6:00,10.4,Despejado,0,65%,7%,NW,7.2,15.1,10,,,,,,,,,,
7:00,10.5,Soleado,0,66%,9%,NW,6.1,12.6,10,,,,,,,,,,
8:00,10.6,Soleado,0,67%,14%,NW,6.8,13.9,10,,,,,,,,,,
9:00,12.3,Soleado,0,61%,14%,NW,6.5,10.5,10,,,,,,,,,,
10:00,14.3,Parcialmente nublado,0,54%,49%,NNW,8.3,10.5,10,,,,,,,,,,
11:00,15.9,Cielo cubierto,0,48%,88%,NNW,11.9,13.8,10,,,,,,,,,,
12:00,17.1,Parcialmente nublado,0,44%,30%,NNW,12.2,14.1,10,,,,,,,,,,
13:00,18.1,Parcialmente nublado,0,41%,26%,NNW,11.5,13.2,10,,,,,,,,,,
14:00,18.6,Soleado,0,38%,20%,N,11.9,13.7,10,,,,,,,,,,
15:00,18.9,Soleado,0,36%,20%,N,12.2,14.2,10,,,,,,,,,,
16:00,18.9,Parcialmente nublado,0,35%,30%,N,10.8,13.5,10,,,,,,,,,,
17:00,18,Parcialmente nublado,0,37%,27%,N,7.6,11.2,10,,,,,,,,,,
18:00,15.5,Despejado,0,44%,24%,NNW,8.6,17,10,,,,,,,,,,
19:00,14.3,Despejado,0,48%,22%,NW,9,18.9,10,,,,,,,,,,
20:00,13.8,Despejado,0,49%,15%,NW,9,18.9,10,,,,,,,,,,
21:00,13.5,Despejado,0,50%,11%,WNW,9,18.9,10,,,,,,,,,,
22:00,13.2,Despejado,0,51%,9%,NW,8.6,18.1,10,,,,,,,,,,
23:00,12.8,Despejado,0,52%,8%,NW,7.9,16.6,10,,,,,,,,,,
2, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,,
0:00,12.4,Despejado,0,52%,2%,W,7.6,15.9,10,,,,,,,,,,
1:00,12,Despejado,0,52%,2%,WNW,5.4,11.3,10,,,,,,,,,,
2:00,11.7,Despejado,0,51%,0%,NW,4.7,9.8,10,,,,,,,,,,
3:00,11.4,Despejado,0,51%,0%,NW,5.8,12.1,10,,,,,,,,,,
4:00,11.2,Despejado,0,50%,0%,WNW,5.8,12.1,10,,,,,,,,,,
5:00,11.1,Despejado,0,51%,2%,WNW,5.4,11.3,10,,,,,,,,,,
6:00,10.9,Despejado,0,50%,2%,WNW,2.9,6,10,,,,,,,,,,
7:00,10.9,Soleado,0,50%,2%,WNW,2.2,4.5,10,,,,,,,,,,
8:00,11,Soleado,0,48%,3%,W,1.8,3.8,10,,,,,,,,,,
9:00,13.5,Soleado,0,42%,3%,ESE,1.1,2.1,10,,,,,,,,,,
10:00,16.1,Soleado,0,34%,2%,N,0.7,1,10,,,,,,,,,,
11:00,17.9,Soleado,0,30%,2%,NNW,2.2,2.7,10,,,,,,,,,,
12:00,19.2,Soleado,0,26%,0%,N,2.5,3.1,10,,,,,,,,,,
13:00,20.1,Soleado,0,25%,1%,W,4.3,5.1,10,,,,,,,,,,
14:00,20.6,Soleado,0,23%,4%,W,5,6.1,10,,,,,,,,,,
15:00,20.9,Soleado,0,23%,0%,WSW,4,4.9,10,,,,,,,,,,
16:00,20.9,Soleado,0,23%,8%,WSW,3.6,4.6,10,,,,,,,,,,
17:00,19.6,Despejado,0,27%,11%,SW,3.2,5.1,10,,,,,,,,,,
18:00,16.5,Despejado,0,31%,15%,SW,1.8,3.8,10,,,,,,,,,,
19:00,15.6,Despejado,0,33%,19%,ESE,3.2,6.8,10,,,,,,,,,,
20:00,15,Nublado,0,34%,64%,SE,4,8.3,10,,,,,,,,,,
21:00,14.9,Cielo cubierto,0,35%,93%,SSE,4,8.3,10,,,,,,,,,,
22:00,14.8,Despejado,0,35%,6%,SSE,5.4,11.3,10,,,,,,,,,,
23:00,14.4,Despejado,0,36%,7%,S,5,10.6,10,,,,,,,,,,
3, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,,
0:00,14.2,Despejado,0,37%,20%,SSE,5,10.6,10,,,,,,,,,,
1:00,14.6,Parcialmente nublado,0,36%,36%,SSE,4.3,9.1,10,,,,,,,,,,
2:00,14,Despejado,0,38%,6%,SSE,4.7,9.8,10,,,,,,,,,,
3:00,12.8,Despejado,0,41%,0%,SSE,2.5,5.3,10,,,,,,,,,,
4:00,12.3,Despejado,0,43%,0%,ESE,3.6,7.6,10,,,,,,,,,,
5:00,11.9,Despejado,0,44%,0%,ESE,4.7,9.8,10,,,,,,,,,,
