HORA:,TEMPERATURA:,CLIMA:,PROBABILIDAD LLUVIA,HUMEDAD:,NUBOSIDAD:,DIRECCION DEL VIENTO:,VELOCIDAD DEL VIENTO (Km/h):,RAFAGA DEL VIENTO (Km/h):,VISIBILIDAD:
00:00,19° C,Cielo cubierto,0%,28%,100%,NW,7,15,10
01:00,18° C,Despejado,0%,29%,6%,WNW,6,13,10
02:00,18° C,Despejado,0%,29%,6%,WNW,6,13,10
03:00,18° C,Despejado,0%,29%,9%,WNW,4,8,10
04:00,18° C,Despejado,0%,29%,19%,NW,5,11,10
05:00,18° C,Despejado,0%,29%,25%,NNW,5,11,10
06:00,17° C,Despejado,0%,29%,14%,NNW,5,11,10
07:00,17° C,Soleado,0%,30%,8%,NNW,6,12,10
08:00,17° C,Cielo cubierto,0%,30%,93%,NNW,4,9,10
09:00,17° C,Soleado,0%,31%,8%,N,3,7,10
10:00,19° C,Soleado,0%,30%,11%,WNW,2,4,10
11:00,20° C,Soleado,0%,25%,5%,ESE,4,5,10
12:00,24° C,Parcialmente nublado,0%,27%,75%,N,11,18,16
13:00,23° C,Soleado,0%,19%,15%,WNW,3,3,10
14:00,24° C,Soleado,0%,18%,6%,NNE,2,2,10
15:00,25° C,Cielo cubierto,0%,17%,100%,WSW,1,1,10
16:00,26° C,Parcialmente nublado,0%,17%,49%,WSW,0,0,10
17:00,26° C,Nublado,0%,16%,82%,SE,1,2,10
18:00,26° C,Cielo cubierto,0%,16%,92%,SE,4,4,10
19:00,25° C,Despejado,0%,16%,4%,SE,5,6,10
20:00,23° C,Despejado,0%,19%,7%,SE,4,7,10
21:00,22° C,Despejado,0%,21%,8%,ESE,4,9,10
22:00,21° C,Despejado,0%,23%,15%,SE,3,6,10
23:00,20° C,Despejado,0%,23%,18%,SE,5,10,10
