ds,RealVal,PatchTST,LSTM
1/1/2024 1:00,5.8,1.768333197,4.035105705
1/1/2024 2:00,7.6,7.706089497,5.350414276
1/1/2024 3:00,6.1,9.545949936,6.865287781
1/1/2024 4:00,6.5,5.210724831,5.11588192
1/1/2024 5:00,5,6.740960121,5.862921238
1/1/2024 6:00,7.2,4.202978611,4.620771885
1/1/2024 7:00,6.1,9.779542923,6.337865829
1/1/2024 8:00,6.8,5.345340729,5.256329536
1/1/2024 9:00,6.5,6.953163147,6.229547501
1/1/2024 10:00,8.3,6.348004341,5.793743134
1/1/2024 11:00,11.9,9.933764458,7.510232925
1/1/2024 12:00,12.2,16.21228027,10.30430031
1/1/2024 13:00,11.5,11.97730637,11.8199749
1/1/2024 14:00,11.9,10.36154175,11.52015305
1/1/2024 15:00,12.2,12.17577171,12.18106461
1/1/2024 16:00,10.8,12.15803528,12.13869286
1/1/2024 17:00,7.6,9.545090675,9.862146378
1/1/2024 18:00,8.6,6.017380714,6.730892181
1/1/2024 19:00,9,9.240124702,8.451351166
1/1/2024 20:00,9,9.340388298,8.792798042
1/1/2024 21:00,9,8.338565826,8.002832413
1/1/2024 22:00,8.6,8.473069191,8.052167892
1/1/2024 23:00,7.9,7.768957138,7.487895012
1/2/2024 0:00,7.6,7.29982233,6.842475891
1/2/2024 1:00,5.4,7.324692726,6.760798931
1/2/2024 2:00,4.7,4.595472336,4.607970238
1/2/2024 3:00,5.8,4.344339371,4.205286026
1/2/2024 4:00,5.8,6.697663307,5.512763977
1/2/2024 5:00,5.4,5.657971382,5.272015572
1/2/2024 6:00,2.9,4.954139709,4.956299305
1/2/2024 7:00,2.2,2.039459229,2.658834934
1/2/2024 8:00,1.8,1.95391643,2.35865283
1/2/2024 9:00,1.1,2.027642012,2.022361279
1/2/2024 10:00,0.7,1.164130926,1.459549904
1/2/2024 11:00,2.2,0.815113306,1.290011406
1/2/2024 12:00,2.5,3.564781666,3.324572086
1/2/2024 13:00,4.3,2.970381737,2.628984928
1/2/2024 14:00,5,6.630772591,5.541410923
1/2/2024 15:00,4,5.701733589,5.615784168
1/2/2024 16:00,3.6,3.43381691,3.872739792
1/2/2024 17:00,3.2,3.499216795,3.576386452
1/2/2024 18:00,1.8,3.137174845,3.174786091
1/2/2024 19:00,3.2,1.522270083,1.970062017
1/2/2024 20:00,4,4.363678932,3.605770111
1/2/2024 21:00,4,4.680614471,4.155996799
1/2/2024 22:00,5.4,3.837582588,3.298286676
1/2/2024 23:00,5,6.889595032,5.241372585
1/3/2024 0:00,5,4.559792995,4.512145519
1/3/2024 1:00,4.3,4.696969032,4.387878418
1/3/2024 2:00,4.7,3.820188999,3.933033466
1/3/2024 3:00,2.5,4.677303791,4.472499847
1/3/2024 4:00,3.6,1.709180117,2.655255318
1/3/2024 5:00,4.7,4.06089592,3.757926464
1/3/2024 6:00,4.3,5.719783306,4.70678854
1/3/2024 7:00,4.3,3.776541948,3.843815088
1/3/2024 8:00,6.5,4.074392796,4.129548073
1/3/2024 9:00,9.4,8.790973663,6.554503918
1/3/2024 10:00,9.4,12.83732986,9.402500153
1/3/2024 11:00,9.7,8.86422348,8.942914963
1/3/2024 12:00,10.1,9.429868698,9.979541779
1/3/2024 13:00,9.7,10.31395912,10.38988876
1/3/2024 14:00,9.7,8.886759758,9.466892242
1/3/2024 15:00,7.2,9.19334507,9.631814957
1/3/2024 16:00,6.5,5.99352932,6.212931633
1/3/2024 17:00,23.8,5.887261391,5.915013313
1/3/2024 18:00,37.4,32.80226517,12.32566261
1/3/2024 19:00,22,41.56954956,19.97079468
1/3/2024 20:00,18.4,14.99325371,14.7260046
1/3/2024 21:00,14,15.59284401,14.76381493
1/3/2024 22:00,12.6,12.40402699,13.57313728
1/3/2024 23:00,13.3,11.18075943,10.89283943
1/4/2024 0:00,15.5,13.33139133,12.27492714
1/4/2024 1:00,15.5,17.06772995,14.13135147
1/4/2024 2:00,16.9,15.82308674,13.40201759
1/4/2024 3:00,14.4,18.67863655,14.86083984
1/4/2024 4:00,11.9,11.91431808,12.42977524
1/4/2024 5:00,9.4,9.869549751,10.12251568
1/4/2024 6:00,8.6,8.204589844,8.145393372
1/4/2024 7:00,8.3,8.021324158,7.838863373
1/4/2024 8:00,7.6,7.962983608,7.697227478
1/4/2024 9:00,5,6.794857979,7.024405003
1/4/2024 10:00,5,3.92868185,4.098558426
1/4/2024 11:00,6.1,4.715286732,5.073789597
1/4/2024 12:00,7.6,7.093266487,6.124384403
1/4/2024 13:00,8.6,8.860924721,8.163183212
1/4/2024 14:00,10.1,9.460277557,9.564308167
1/4/2024 15:00,9.7,11.9601059,11.93199825
1/4/2024 16:00,9,9.655172348,9.958476067
1/4/2024 17:00,6.8,8.618798256,9.280822754
1/4/2024 18:00,5.4,5.804598808,6.482110023
1/4/2024 19:00,5.4,4.624499321,5.166038036
1/4/2024 20:00,6.8,5.682593822,5.417268276
1/4/2024 21:00,7.6,7.722097397,7.166418076
1/4/2024 22:00,5,7.896702766,7.30563736
1/4/2024 23:00,4,3.606077194,3.709990978
1/5/2024 0:00,5,3.422940969,3.283913851
1/5/2024 1:00,5.4,5.706571579,5.430314541
1/5/2024 2:00,4,5.517529011,5.168046951
1/5/2024 3:00,2.9,3.550452471,3.389308929
1/5/2024 4:00,3.2,2.792498112,2.62745142
1/5/2024 5:00,2.5,3.445515871,3.234228373
1/5/2024 6:00,2.2,2.062851429,2.379618168
1/5/2024 7:00,5,1.927176952,2.173682213
1/5/2024 8:00,6.1,7.403323174,5.80587101
1/5/2024 9:00,4,7.062407494,5.998743534
1/5/2024 10:00,3.2,3.323820591,3.456482887
1/5/2024 11:00,5.8,2.896241903,3.201104164
1/5/2024 12:00,9.4,8.071580887,6.856788635
1/5/2024 13:00,8.3,13.10032558,10.96463776
1/5/2024 14:00,4.3,7.343277454,7.6713624
1/5/2024 15:00,0.7,2.728483677,4.668548584
1/5/2024 16:00,3.6,0.060290933,2.666060448
1/5/2024 17:00,7.6,6.013121128,5.067453384
1/5/2024 18:00,9.4,11.02405167,8.179582596
1/5/2024 19:00,10.4,10.97676182,8.11356926
1/5/2024 20:00,9.4,11.02938461,9.205450058
1/5/2024 21:00,7.9,8.514922142,8.036254883
1/5/2024 22:00,7.9,6.760489464,6.549562454
1/5/2024 23:00,6.1,7.54444313,7.281284332
1/6/2024 0:00,4.3,5.284358501,5.354192734
1/6/2024 1:00,3.6,3.730731487,3.795119762
1/6/2024 2:00,5.4,3.338815689,3.530258656
1/6/2024 3:00,3.6,6.605593681,5.511719704
1/6/2024 4:00,4.3,3.013014555,3.31795454
1/6/2024 5:00,3.6,4.413458824,4.419336319
1/6/2024 6:00,1.4,3.3048563,3.479214668
1/6/2024 7:00,1.8,0.73883605,1.991518497
1/6/2024 8:00,6.1,2.090279579,2.416145086
1/6/2024 9:00,6.8,9.552904129,6.976297855
1/6/2024 10:00,7.2,7.500031948,6.159664631
1/6/2024 11:00,10.8,7.408693314,7.184522629
1/6/2024 12:00,10.8,13.87049294,12.27725601
1/6/2024 13:00,11.2,10.33552074,10.87698078
1/6/2024 14:00,12.6,10.98749447,11.46861553
1/6/2024 15:00,14,13.89945412,12.93337631
1/6/2024 16:00,13.7,15.27323055,13.80636406
1/6/2024 17:00,13,13.61890793,12.10154724
1/6/2024 18:00,13.7,12.00253677,11.33871555
1/6/2024 19:00,12.2,13.99542618,12.76310349
1/6/2024 20:00,10.8,10.82562828,10.66905403
1/6/2024 21:00,13,9.542478561,9.097335815
1/6/2024 22:00,14,15.08370972,12.57962704
1/6/2024 23:00,14,14.59966469,13.23361874
1/7/2024 0:00,10.1,13.39067841,12.5167141
1/7/2024 1:00,15.8,8.07557106,8.414194107
1/7/2024 2:00,19.4,19.4887104,14.55913734
1/7/2024 3:00,15.8,23.29148102,17.77090073
1/7/2024 4:00,16.6,12.26506424,13.40022278
1/7/2024 5:00,15.8,17.00650978,15.65486717
1/7/2024 6:00,18.4,15.15874004,14.82575893
1/7/2024 7:00,20.5,20.66739464,18.19839287
1/7/2024 8:00,32.8,22.6824913,20.86861038
1/7/2024 9:00,35.6,37.60795975,30.48345566
1/7/2024 10:00,33.1,37.30621719,36.27028656
1/7/2024 11:00,31.7,32.10829163,31.95915222
1/7/2024 12:00,29.2,31.04310608,31.56530762
1/7/2024 13:00,24.8,27.65210915,27.59782028
1/7/2024 14:00,25.2,21.82301903,22.17103386
1/7/2024 15:00,24.5,25.42243195,22.98339272
1/7/2024 16:00,25.2,23.74134445,22.4653492
1/7/2024 17:00,26.6,25.80737877,22.19029617
1/7/2024 18:00,27.7,26.97481918,23.79674339
1/7/2024 19:00,29.2,27.44663811,24.77801704
1/7/2024 20:00,27.7,29.01524353,26.58140373
1/7/2024 21:00,26.6,25.87561989,25.328125
1/7/2024 22:00,26.3,25.19416237,24.68214798
1/7/2024 23:00,23.8,25.62350464,25.50964355
1/8/2024 0:00,9.7,21.18691826,21.5909729
1/8/2024 1:00,8.6,6.137720108,7.072048187
1/8/2024 2:00,7.2,7.554581165,9.901143074
1/8/2024 3:00,8.3,6.955967903,7.118862629
1/8/2024 4:00,10.1,8.329630852,8.566738129
1/8/2024 5:00,11.2,11.09022617,10.59582615
1/8/2024 6:00,12.2,11.57201767,11.82928848
1/8/2024 7:00,9.7,13.66149998,13.40740967
1/8/2024 8:00,9,8.597694397,8.921985626
1/8/2024 9:00,8.6,8.469025612,9.858587265
1/8/2024 10:00,12.6,8.525954247,9.317472458
1/8/2024 11:00,18.4,15.68936348,15.63691711
1/8/2024 12:00,19.1,22.49019432,21.70755577
1/8/2024 13:00,18,19.23567772,16.89749527
1/8/2024 14:00,16.9,16.58826256,15.65036297
1/8/2024 15:00,16.6,15.73566723,15.12473869
1/8/2024 16:00,16.2,16.0628624,14.88806152
1/8/2024 17:00,13.7,15.95169067,14.46057129
1/8/2024 18:00,10.4,12.28728867,11.67684174
1/8/2024 19:00,7.9,8.864305496,8.571432114
1/8/2024 20:00,5.8,6.831035137,6.801875114
1/8/2024 21:00,3.6,5.214216232,5.211651802
1/8/2024 22:00,3.2,3.097872496,3.963124752
1/8/2024 23:00,2.9,3.149571419,3.52700901
1/9/2024 0:00,2.5,2.999700785,3.179018497
1/9/2024 1:00,3.6,2.855230808,2.716713428
1/9/2024 2:00,5,4.338665009,3.958432436
1/9/2024 3:00,5.4,5.89029932,5.375906944
1/9/2024 4:00,4.3,5.773257732,5.292098045
1/9/2024 5:00,4.3,3.75439024,3.571240902
1/9/2024 6:00,4.7,4.315313339,4.267482281
1/9/2024 7:00,4.3,4.902298927,4.944829941
1/9/2024 8:00,3.6,4.257318974,4.092035294
1/9/2024 9:00,3.6,3.433900833,3.360950947
1/9/2024 10:00,5.8,3.757012844,3.93269825
1/9/2024 11:00,6.5,7.794909,7.803117275
1/9/2024 12:00,6.8,7.184087276,6.848725319
1/9/2024 13:00,6.5,6.951729298,6.970433712
1/9/2024 14:00,5,6.341332912,6.306522846
1/9/2024 15:00,4.3,4.582233906,4.361804008
1/9/2024 16:00,6.5,4.149606228,3.940696955
1/9/2024 17:00,8.6,7.947686195,7.797571659
1/9/2024 18:00,9.7,10.37686539,9.240670204
1/9/2024 19:00,8.6,10.49045181,8.261918068
1/9/2024 20:00,7.9,7.612607956,7.33409977
1/9/2024 21:00,7.6,7.242640495,7.120819092
1/9/2024 22:00,7.6,7.268622875,7.291995525
1/9/2024 23:00,6.8,7.201386929,7.187332153
1/10/2024 0:00,5.8,6.236135483,6.009534836
1/10/2024 1:00,2.5,5.440890312,4.880392551
1/10/2024 2:00,2.9,1.913248539,2.679310322
1/10/2024 3:00,4.3,3.168596745,3.409362793
1/10/2024 4:00,2.9,5.20464468,5.054563522
1/10/2024 5:00,3.2,2.363221407,2.734045029
1/10/2024 6:00,4.3,3.421668053,3.293998718
1/10/2024 7:00,4.3,4.981193542,4.659500122
1/10/2024 8:00,5.8,4.565440655,3.984282017
1/10/2024 9:00,7.6,6.988531113,6.440888405
1/10/2024 10:00,7.2,9.16601944,8.655924797
1/10/2024 11:00,6.8,7.132918358,6.701215267
1/10/2024 12:00,9.7,6.498456955,6.442463875
1/10/2024 13:00,10.1,11.82111931,12.13883591
1/10/2024 14:00,8.6,10.01084042,10.19054317
1/10/2024 15:00,7.9,7.660228729,7.630178452
1/10/2024 16:00,9.4,7.620414257,7.36734581
1/10/2024 17:00,8.3,10.49402142,9.646885872
1/10/2024 18:00,8.3,7.609611511,7.188363552
1/10/2024 19:00,7.2,7.63244772,7.215214729
1/10/2024 20:00,5,6.401373863,6.544050694
1/10/2024 21:00,5.8,4.13319397,4.527427197
1/10/2024 22:00,16.6,5.949828148,5.84577179
1/10/2024 23:00,24.5,22.31212234,15.73311424
1/11/2024 0:00,20.5,28.82884789,21.86643028
1/11/2024 1:00,23.8,17.3998394,15.85916328
1/11/2024 2:00,25.9,25.2118988,20.57401657
1/11/2024 3:00,23.4,26.86415863,23.56303215
1/11/2024 4:00,26.3,21.11144447,20.55475998
1/11/2024 5:00,31,26.95254898,24.76550484
1/11/2024 6:00,33.1,33.60082626,30.25697517
1/11/2024 7:00,29.5,33.84256744,33.02275848
1/11/2024 8:00,24.1,26.72060013,27.03235054
1/11/2024 9:00,21.6,20.36638832,20.01633453
1/11/2024 10:00,22.7,19.50209999,19.75022507
1/11/2024 11:00,27.4,23.5375576,22.13259697
1/11/2024 12:00,26.6,29.5457058,25.65278816
1/11/2024 13:00,30.6,25.71146011,24.09709167
1/11/2024 14:00,26.3,32.74631882,28.09275055
1/11/2024 15:00,28.1,23.42498207,22.15948868
1/11/2024 16:00,30.6,28.27789497,25.37490463
1/11/2024 17:00,24.8,31.78019333,28.32051086
1/11/2024 18:00,16.6,20.69688797,21.27772713
1/11/2024 19:00,12.6,12.6975441,13.75880623
1/11/2024 20:00,10.8,11.03973579,11.58251286
1/11/2024 21:00,8.3,10.21117496,10.17742825
1/11/2024 22:00,7.6,7.273575306,7.361839771
1/11/2024 23:00,4,6.778579235,7.542616844
1/12/2024 0:00,3.6,3.023971796,4.043472767
1/12/2024 1:00,2.5,3.903653622,4.931102753
1/12/2024 2:00,2.9,2.695134878,3.618279934
1/12/2024 3:00,3.2,3.289119005,4.190446854
1/12/2024 4:00,5.4,3.770583153,4.081515789
1/12/2024 5:00,3.2,6.881247997,7.26268959
1/12/2024 6:00,5,2.673644304,3.48744154
1/12/2024 7:00,5.4,5.964198589,7.220923424
1/12/2024 8:00,4,6.214677334,6.301526546
1/12/2024 9:00,3.2,3.813746691,4.087377548
1/12/2024 10:00,2.9,3.425355911,3.44687748
1/12/2024 11:00,2.9,3.09370327,3.285656452
1/12/2024 12:00,2.9,3.242177486,3.057294846
1/12/2024 13:00,2.5,3.230532646,2.935184479
